,date_time,site_name,posa_continent,user_location_country,user_location_region,user_location_city,orig_destination_distance,user_id,is_mobile,is_package,channel,srch_ci,srch_co,srch_adults_cnt,srch_children_cnt,srch_rm_cnt,srch_destination_id,srch_destination_type_id,is_booking,cnt,hotel_continent,hotel_country,hotel_market,hotel_cluster
526536,2014-08-26 11:57:33,2,3,66,220,14656,129.433,610573,0,0,9,2014-08-30,2014-08-31,2,0,1,28514,6,0,1,2,50,1457,83
386257,2013-08-26 20:47:02,2,3,66,174,3669,2357.5178,148925,0,0,7,2013-09-26,2013-09-29,2,0,1,8271,1,0,1,2,50,696,68
548736,2014-08-20 20:25:53,2,3,66,435,47480,1590.1421,666452,0,0,9,2014-08-25,2014-08-29,2,0,1,8250,1,0,1,2,50,628,1
95171,2014-08-20 14:28:59,18,2,119,0,27731,,372443,0,0,9,2014-10-05,2014-10-08,1,0,1,25116,1,0,1,6,4,151,36
294322,2014-08-05 19:31:25,23,1,1,395,29254,501.8755,1041931,0,0,5,2014-08-08,2014-08-17,2,0,1,11643,1,0,1,6,77,222,78
524192,2014-08-27 13:17:43,2,3,66,324,41027,242.7237,604811,0,0,9,2014-08-28,2014-08-29,1,0,1,12364,5,1,1,2,50,647,48
185312,2014-08-06 16:40:14,2,3,66,184,11878,882.7339,675794,0,0,9,2014-08-12,2014-08-14,1,0,1,24191,6,1,1,2,50,360,91
442492,2014-08-21 09:23:34,24,2,3,50,5703,,353735,0,1,1,2014-09-26,2014-09-28,1,0,1,51615,1,0,1,3,130,66,30
10402,2014-08-29 13:36:08,2,3,66,174,16292,47.3635,56983,0,0,9,2014-10-16,2014-10-17,2,0,1,29328,4,0,1,2,50,369,28
99362,2013-08-27 18:11:54,2,3,66,363,11295,7865.0754,388180,0,0,9,2013-09-09,2013-09-11,1,0,1,1795,1,0,4,3,99,1312,46
519496,2014-08-11 14:49:53,2,3,66,220,19416,111.6786,593229,0,0,0,2014-10-14,2014-10-21,2,2,1,28512,6,0,1,2,50,1457,3
345216,2014-08-07 17:31:01,2,3,66,294,56365,1920.1182,253,0,0,2,2014-12-26,2014-12-29,2,0,1,24125,6,0,1,2,50,363,39
268004,2014-08-09 17:17:08,37,1,69,676,30767,,967828,1,0,1,2014-12-10,2014-12-15,2,0,1,11853,1,0,1,2,50,702,96
291068,2014-08-13 11:43:12,2,3,66,321,52515,1515.937,1035017,0,0,9,2014-09-02,2014-09-03,1,0,1,11353,1,0,1,2,50,699,77
37655,2014-08-11 20:17:21,11,3,205,135,15542,496.3369,144328,1,0,9,2014-12-04,2014-12-07,2,0,1,12270,6,0,1,2,50,663,70
566942,2013-08-12 13:36:27,34,3,205,135,27655,3218.2489,732367,0,1,9,2013-11-08,2013-11-15,2,2,1,669,3,0,2,2,50,212,9
342253,2014-08-24 00:37:18,48,2,70,107,24046,,1184384,1,1,2,2015-05-05,2015-05-10,2,0,1,17845,5,0,1,3,126,232,85
142705,2014-08-22 06:56:11,2,3,66,174,23663,199.2523,552345,1,0,9,2014-09-12,2014-09-21,3,0,1,8250,1,0,1,2,50,628,51
474625,2014-08-02 19:37:06,2,3,66,348,37037,,438407,0,1,1,2014-11-22,2014-11-26,2,1,1,6432,3,0,1,4,118,200,86
173554,2014-08-02 21:02:18,10,0,182,416,26877,262.008,648800,0,0,5,2014-10-17,2014-10-19,2,0,1,8275,1,0,1,4,196,2027,11
411395,2014-08-16 08:42:47,2,3,66,442,25379,1294.6454,230484,0,0,9,2014-09-14,2014-09-16,2,0,1,11620,1,0,1,2,50,369,70
209306,2014-08-16 22:04:09,29,1,52,41,47355,,776084,1,1,1,2014-09-22,2014-09-26,2,0,1,23856,1,0,1,6,105,889,93
21750,2014-08-13 15:48:04,2,3,66,174,31206,5621.875,94633,0,0,9,2014-11-25,2014-11-26,1,0,1,8282,1,1,1,3,126,232,10
189912,2014-08-20 09:23:20,2,3,66,196,2428,351.2365,688915,0,1,1,2014-09-16,2014-09-19,1,0,1,8287,1,0,12,2,198,397,47
56141,2014-08-17 01:17:12,2,3,167,51,11261,,197539,0,0,9,2014-12-18,2014-12-20,2,0,1,7635,3,0,1,2,50,675,56
583512,2014-08-25 04:12:47,2,3,93,43,24995,,796987,0,0,2,2014-09-18,2014-09-20,4,0,2,21962,6,0,1,6,68,275,83
549170,2014-08-26 22:46:25,2,3,66,462,37454,,667686,0,1,9,2014-10-02,2014-10-04,1,0,1,8261,1,0,1,2,50,646,48
142740,2014-08-10 15:50:31,2,3,66,311,45545,3960.6554,552402,0,0,9,2014-08-26,2014-08-31,2,0,1,8785,1,1,1,6,105,1848,8
591910,2014-08-22 09:42:34,11,3,205,155,19334,641.6262,824181,0,0,0,2014-12-29,2015-01-01,1,0,1,11835,1,0,1,2,50,633,50
415834,2014-08-15 16:13:03,13,1,46,171,26969,109.9093,254104,0,0,5,2014-08-22,2014-08-23,2,0,1,21826,6,0,1,6,46,1089,93
108692,2013-08-25 08:24:46,2,3,66,143,130,1150.0492,418013,1,1,9,2014-01-10,2014-01-17,2,0,1,11372,1,0,1,4,121,199,78
531455,2014-08-22 06:58:10,2,3,66,333,16992,413.8462,621166,0,0,9,2014-08-31,2014-09-01,2,0,1,25094,6,0,1,2,50,666,4
121738,2013-08-07 10:05:54,2,3,66,174,13248,2478.8389,455518,1,0,9,2014-01-27,2014-02-01,2,0,1,12722,5,0,1,2,50,213,0
262329,2014-08-28 17:39:03,2,3,66,348,53377,1558.1782,942802,0,1,8,2015-04-10,2015-04-16,2,0,1,8791,1,0,2,4,8,110,65
143484,2013-08-02 07:17:33,2,3,66,321,47535,1092.0482,556408,0,0,9,2013-08-07,2013-08-08,1,0,1,12668,5,0,1,2,50,534,32
590103,2014-08-19 15:42:39,2,3,66,184,18716,1757.6456,817393,0,0,9,2015-03-04,2015-03-07,2,0,1,14984,1,0,3,2,50,1457,80
329345,2014-08-08 20:17:32,13,1,46,171,18392,,1134618,0,0,3,2015-04-10,2015-04-16,7,1,2,8267,1,0,1,2,50,675,55
530910,2013-08-04 19:58:23,30,4,195,548,56440,,619820,0,0,0,2014-01-07,2014-01-14,3,0,1,14138,6,0,1,2,50,1230,83
167032,2014-08-06 06:48:40,2,3,66,348,13886,,629414,0,1,9,2014-08-22,2014-08-25,2,0,1,11735,1,0,1,4,128,1559,30
261499,2014-08-18 20:49:02,2,3,66,174,15487,376.2936,938312,0,1,9,2014-09-07,2014-09-09,1,0,1,12757,5,0,1,2,50,659,59
376021,2013-08-09 11:25:08,2,3,66,351,2787,112.285,119702,0,0,0,2013-08-17,2013-08-19,2,0,1,8231,1,0,1,2,50,638,58
368197,2014-08-14 12:28:54,2,3,66,448,32351,2253.1781,97868,0,0,9,2014-09-04,2014-09-07,2,0,1,8278,1,0,1,2,50,368,68
455393,2014-08-12 13:47:49,37,1,69,585,40970,,1130991,0,1,1,2014-10-04,2014-10-06,2,0,1,8289,1,0,2,6,107,36,46
385556,2014-08-02 14:41:02,22,2,0,232,12164,,945130,0,0,5,2014-08-06,2014-08-08,2,0,1,8245,1,0,2,6,22,245,61
17717,2014-08-05 19:26:20,37,1,188,294,1294,,983913,0,0,9,2014-08-14,2014-08-16,2,2,1,8794,1,0,1,6,144,7,25
64065,2014-08-18 08:20:37,2,3,66,337,52284,48.4965,1104744,0,0,0,2014-08-27,2014-08-28,2,0,1,11988,1,0,1,2,50,422,33
424292,2014-08-18 12:55:30,2,3,66,442,46296,68.22,1049088,0,0,9,2014-10-11,2014-10-14,1,0,1,8218,1,0,4,2,50,743,91
316966,2014-08-29 19:11:57,2,3,66,337,47357,1536.1272,732503,0,1,1,2014-12-19,2014-12-23,2,0,1,12439,5,0,1,4,8,110,26
315893,2014-08-01 18:13:41,11,3,3,50,5703,,727314,0,0,9,2014-08-15,2014-08-17,2,0,1,1725,1,0,1,3,182,1493,12
478931,2014-08-20 19:10:46,11,3,205,312,36194,,16006,0,0,2,2015-02-01,2015-02-02,2,0,1,12008,1,0,1,2,50,686,51
204256,2014-08-06 13:11:17,2,3,66,346,31371,9.6215,371596,1,0,0,2014-08-13,2014-08-15,2,0,1,8250,1,0,1,2,50,628,88
100483,2014-08-05 16:09:21,2,3,66,331,9683,86.7252,40522,1,0,2,2014-08-10,2014-08-11,2,0,1,4092,3,0,1,2,50,678,91
561217,2013-08-30 18:46:13,2,3,66,311,38374,864.444,266471,1,0,9,2013-09-02,2013-09-03,2,0,1,12189,6,0,2,2,50,637,50
572788,2014-08-28 19:37:41,37,1,69,753,56399,,309955,0,0,9,2014-09-17,2014-09-18,2,0,1,42064,3,0,2,6,31,304,85
309250,2014-08-06 15:28:37,11,3,205,354,51792,,702086,0,0,7,2014-10-04,2014-10-08,2,0,1,18488,6,0,2,6,105,29,8
253073,2013-08-18 09:27:57,2,3,66,346,19149,241.6413,524455,0,0,9,2013-09-21,2013-09-24,2,2,1,24952,3,1,1,2,50,368,13
10228,2014-08-31 10:50:23,2,3,66,348,48862,949.9277,961385,0,1,9,2014-09-24,2014-09-29,2,0,1,8268,1,0,1,2,50,682,34
184882,2014-08-27 21:04:55,13,1,46,347,38786,5456.3793,303029,0,0,9,2014-10-07,2014-10-09,1,0,1,12208,6,0,1,2,50,628,54
577008,2014-08-04 15:48:52,2,3,66,321,47535,700.4261,322272,0,1,3,2014-08-25,2014-08-28,2,0,1,21645,1,0,1,2,50,653,13
304199,2013-08-03 08:13:13,2,3,66,318,26782,,684797,1,1,9,2014-02-13,2014-02-17,1,1,1,8791,1,0,2,4,8,110,85
91082,2014-08-25 15:18:22,24,2,3,50,48999,,1195122,0,0,2,2014-08-25,2014-08-26,2,0,1,8220,1,0,1,3,182,46,85
606746,2014-08-27 21:57:26,41,3,66,340,43356,3181.1862,414653,0,1,9,2015-05-23,2015-05-28,2,0,1,8856,1,0,1,2,50,636,30
22227,2013-08-09 00:52:29,34,3,205,155,22091,258.5784,998914,0,0,5,2013-08-09,2013-08-11,2,0,1,1869,3,0,1,2,198,1638,43
213877,2014-08-25 07:22:46,2,3,66,348,48976,,395502,0,0,4,2014-12-03,2014-12-05,2,0,1,8230,1,0,1,2,50,637,18
478355,2014-08-14 15:33:51,2,3,66,174,37675,32.9657,12525,0,0,9,2014-10-02,2014-10-04,1,0,1,3254,1,0,1,2,50,365,55
313819,2014-08-15 13:01:55,2,3,66,442,28643,1441.1334,717284,0,0,1,2014-09-12,2014-09-14,1,0,1,7620,3,0,2,2,50,676,5
168628,2014-08-29 10:58:40,2,3,66,220,2086,4431.2018,247036,0,0,0,2014-09-11,2014-09-14,2,0,1,8253,1,0,1,6,70,19,76
40037,2014-08-28 15:29:42,2,3,66,226,56497,,1038762,1,0,9,2014-08-31,2014-09-01,2,0,1,8268,1,0,1,2,50,682,34
357534,2014-08-09 11:35:05,8,4,77,462,3492,3753.5568,862230,1,0,3,2015-04-19,2015-04-22,6,1,3,8242,1,0,2,3,171,61,37
190013,2014-08-27 16:23:45,24,2,3,51,39770,,323491,0,1,9,2015-02-21,2015-02-23,3,0,1,8822,1,0,2,3,130,91,9
156893,2014-08-06 23:17:30,8,4,77,462,3492,3402.9885,210120,0,1,1,2014-09-26,2014-10-04,2,0,1,24058,6,0,1,0,153,181,58
323668,2014-08-04 22:18:48,24,2,3,50,5703,,754766,0,0,0,2014-08-07,2014-08-10,2,0,1,8819,1,0,1,3,168,1242,9
530885,2014-08-06 09:53:08,2,3,66,442,28620,1769.1086,178120,0,0,9,2014-08-11,2014-08-15,2,0,2,12270,6,1,1,2,50,663,25
91792,2014-08-01 18:06:49,11,3,66,318,55052,319.5071,1028,0,0,4,2014-08-09,2014-08-10,2,2,1,5562,3,0,2,2,198,400,91
493634,2014-08-29 17:26:26,2,3,66,346,29217,2327.9674,67238,0,1,3,2014-11-05,2014-11-10,2,0,1,8791,1,0,3,4,8,110,52
449979,2014-08-03 05:14:35,2,3,66,220,4948,411.5285,1114779,0,1,9,2014-08-04,2014-08-06,2,2,1,17563,1,0,1,2,50,1235,95
73604,2014-08-20 13:27:27,2,3,66,174,44465,2087.6566,1130607,0,1,9,2014-10-27,2014-11-01,3,0,1,12188,6,0,1,4,8,110,26
140455,2013-08-07 01:46:20,2,3,133,20,3392,,168242,0,0,9,2013-08-07,2013-08-08,1,0,1,51923,1,0,2,6,204,1478,5
163636,2014-08-15 14:04:29,2,3,66,459,10942,,225432,0,0,4,2014-08-16,2014-08-17,2,0,1,6046,3,0,7,2,50,689,48
147734,2014-08-11 20:14:39,2,3,66,462,49272,2098.6506,189534,0,1,1,2015-01-14,2015-01-18,2,0,1,8810,1,0,1,4,8,1532,90
486741,2014-08-25 22:50:40,14,1,214,118,20730,,43262,0,1,9,2014-12-07,2014-12-14,2,0,1,18998,1,0,1,6,77,6,64
115381,2013-08-21 18:21:12,2,3,231,74,610,,99313,0,0,9,2013-09-21,2013-09-22,1,0,1,12603,5,1,1,2,50,365,4
586612,2013-08-14 15:36:03,2,3,66,474,34379,102.7305,352297,0,1,1,2013-08-16,2013-08-17,2,0,1,172,1,0,1,2,50,744,91
419411,2013-08-11 17:23:12,2,3,66,174,24103,99.5332,1037090,0,0,9,2013-08-19,2013-08-20,3,0,1,148,1,0,2,2,50,953,36
332836,2014-08-28 04:21:04,2,3,235,13,53632,,783219,0,0,9,2014-09-26,2014-09-30,1,0,1,12471,5,0,3,3,48,153,97
139751,2014-08-15 09:25:46,2,3,66,348,48862,3462.3707,165462,0,0,9,2015-06-18,2015-06-19,3,1,1,8253,1,0,1,6,70,19,56
7051,2014-08-14 13:16:35,2,3,66,348,36918,3536.4528,947085,0,0,9,2014-09-28,2014-10-04,2,0,1,8745,1,0,3,6,204,27,86
546483,2013-08-17 11:32:17,2,3,66,462,49272,3203.3376,212438,0,1,9,2013-12-14,2013-12-27,2,3,1,8864,1,0,1,4,47,1508,65
83242,2013-08-05 23:14:55,24,2,3,50,5703,,1162506,0,1,0,2013-08-11,2013-08-15,2,0,1,8241,1,0,1,3,162,1490,36
494099,2014-08-25 19:30:21,13,1,66,311,30031,248.9549,69772,0,0,9,2014-09-26,2014-09-28,1,0,1,8262,1,0,1,2,198,384,95
198598,2014-08-21 23:27:07,2,3,66,462,52482,5100.6584,351404,0,0,1,2014-10-02,2014-10-04,2,0,1,22512,6,0,1,6,204,1780,44
525943,2014-08-07 19:16:22,11,3,205,354,42722,,166907,0,0,1,2014-08-08,2014-08-09,2,0,1,26022,6,0,4,2,198,397,19
372926,2014-08-19 22:32:32,2,3,66,174,26232,1856.199,905463,0,0,9,2014-09-27,2014-09-29,2,0,1,8230,1,0,1,2,50,637,70
123225,2014-08-21 07:37:23,2,3,26,13,54286,,123737,0,0,1,2014-09-08,2014-09-10,2,0,1,8289,1,1,1,6,107,36,9
221366,2014-08-15 05:10:16,2,3,66,315,26329,,416501,1,0,1,2014-09-06,2014-09-09,2,0,1,8802,1,0,1,2,50,503,90
376910,2014-08-08 12:32:37,2,3,66,462,50870,5.011,913424,0,0,9,2014-08-08,2014-08-09,2,0,1,7781,3,0,1,2,50,663,39
163429,2014-08-15 14:42:25,2,3,179,410,16634,,224799,0,0,9,2015-02-17,2015-02-21,1,0,1,17869,4,0,1,2,50,366,15
137653,2014-08-16 12:27:17,2,3,66,174,24103,2112.4696,161827,0,1,9,2014-11-26,2014-12-02,2,0,1,8791,1,0,1,4,8,110,66
437457,2014-08-01 14:17:41,13,1,46,347,32303,50.5412,1083016,0,0,9,2015-05-14,2015-05-15,1,0,1,22859,6,0,1,6,144,1364,53
440583,2013-08-23 04:54:13,2,3,66,311,35851,,1091788,0,0,9,2013-09-21,2013-09-24,2,0,1,8793,1,0,2,2,50,677,28
46787,2014-08-26 10:41:45,2,3,66,462,52482,7457.691,1055525,0,0,9,2014-10-12,2014-10-15,1,0,1,8220,1,0,1,3,182,46,9
74312,2013-08-27 19:49:33,2,3,66,442,76,1215.7758,1133119,1,0,9,2013-09-06,2013-09-08,2,0,1,12132,1,0,5,2,50,366,92
476581,2014-08-18 00:11:34,11,3,205,343,538,2135.5216,3917,0,0,9,2015-02-08,2015-02-15,4,0,1,11938,1,0,1,4,8,126,37
91962,2014-08-16 15:55:42,24,2,3,50,5703,,2155,0,1,9,2014-08-20,2014-08-22,1,0,1,8746,1,0,1,6,105,29,2
238440,2013-08-04 15:22:31,24,2,3,50,5224,,1169857,0,0,1,2013-09-18,2013-09-20,2,1,1,8253,1,0,6,6,70,19,69
320682,2014-08-19 20:38:20,17,1,133,20,3392,,210545,0,0,9,2014-08-28,2014-08-30,2,0,1,8785,1,0,1,6,105,809,36
300459,2014-08-07 15:32:54,2,3,66,220,2086,808.6925,163074,0,1,0,2014-08-10,2014-08-11,2,0,2,8265,1,0,1,2,50,647,40
428652,2013-08-18 10:39:39,2,3,66,189,44304,,545319,0,0,0,2013-08-25,2013-08-26,3,1,1,25274,1,0,1,2,50,692,2
607605,2013-08-15 15:41:53,2,3,66,346,31371,2001.676,1057415,0,0,9,2013-08-27,2013-08-29,1,0,1,12439,5,0,1,4,8,110,66
604537,2014-08-29 11:03:12,2,3,66,153,20706,1984.3304,1050461,0,0,9,2014-10-26,2014-10-27,4,0,2,44045,3,0,1,2,50,701,83
163745,2014-08-24 10:43:51,30,4,195,548,14122,,978650,0,0,9,2014-09-05,2014-09-07,2,0,1,21816,6,0,1,0,63,1108,68
384604,2014-08-25 00:00:23,37,1,69,1011,6436,,413425,0,1,9,2014-09-11,2014-09-14,2,0,1,8255,1,0,3,6,77,20,58
411792,2014-08-01 17:35:23,2,3,66,331,23592,,489425,0,0,9,2014-08-08,2014-08-09,1,1,1,12153,1,0,3,2,50,563,59
130541,2014-08-14 11:20:35,2,3,66,448,18390,1567.9784,879792,0,1,9,2014-12-05,2014-12-07,2,0,1,8814,1,0,1,4,51,197,80
511903,2013-08-02 18:47:54,2,3,149,290,33116,,793449,1,0,8,2013-08-06,2013-08-07,1,0,1,12471,5,0,1,3,48,153,46
493579,2014-08-11 18:58:13,2,3,77,824,53333,4688.8068,731083,0,0,9,2014-09-02,2014-09-03,2,0,1,8220,1,0,1,3,182,46,58
24038,2013-08-12 09:43:53,2,3,66,174,16634,5184.8229,563609,0,0,9,2013-08-19,2013-08-23,2,1,1,8505,6,0,1,3,106,107,98
580174,2013-08-28 13:36:12,34,3,205,354,41495,1126.0922,988292,0,1,9,2013-10-28,2013-11-01,2,0,1,8266,1,0,2,2,50,411,83
381478,2014-08-05 16:31:04,11,3,205,155,24207,488.5942,398489,0,0,9,2014-09-09,2014-09-14,2,0,1,26415,6,0,1,2,198,399,47
247012,2013-08-26 10:08:47,24,2,3,65,28685,,1195106,0,0,9,2013-09-05,2013-09-25,2,0,1,7635,3,0,2,2,50,675,55
483769,2014-08-01 23:38:02,2,3,48,23,14308,,697488,0,0,9,2014-09-17,2014-09-24,4,0,2,8745,1,0,4,6,204,1614,30
230333,2014-08-26 16:53:03,2,3,66,174,9351,6117.2024,1150583,0,0,9,2014-11-19,2014-11-20,1,0,1,8740,1,0,2,6,105,12,64
557228,2014-08-12 22:16:42,24,2,3,38,10474,,922086,0,0,5,2014-09-03,2014-09-04,2,0,1,43199,1,0,1,3,106,106,82
378881,2014-08-22 21:25:35,2,3,66,258,1803,71.1606,393865,0,0,2,2014-11-28,2014-11-30,3,0,1,64193,4,1,1,2,50,538,72
450046,2014-08-04 18:57:44,2,3,66,314,13698,5222.6869,613135,0,0,9,2014-08-22,2014-08-25,2,0,1,8245,1,0,1,6,22,245,78
547428,2014-08-28 17:17:32,11,3,205,155,6802,7067.4264,896697,0,0,0,2014-12-08,2014-12-09,1,0,1,22258,6,0,1,0,34,43,46
180634,2013-08-12 21:07:21,2,3,66,153,20706,1442.3762,1016871,0,0,0,2013-08-27,2013-08-30,1,0,1,12189,6,1,1,2,50,637,95
250631,2014-08-14 12:28:27,2,3,66,337,9869,,7945,0,0,1,2014-08-17,2014-08-18,3,0,1,20192,3,0,1,2,50,529,28
587958,2014-08-24 17:51:33,2,3,66,351,47357,312.1722,1005776,0,0,9,2014-09-26,2014-09-28,2,0,1,27466,6,0,1,2,50,647,40
511310,2014-08-06 10:38:33,34,3,205,354,18191,,790931,0,0,9,2014-08-16,2014-08-17,2,0,1,14875,1,0,1,2,198,750,50
351530,2014-08-04 11:14:05,2,3,66,337,27733,1558.6275,302585,0,1,0,2014-12-19,2014-12-24,3,1,1,8791,1,0,1,4,8,110,65
583109,2014-08-14 18:17:51,2,3,66,174,52320,8483.9378,993751,0,1,0,2014-12-24,2014-12-26,2,0,1,8819,1,0,3,3,168,1242,97
338348,2014-08-09 23:08:06,2,3,66,174,5938,357.909,262193,0,0,9,2014-08-11,2014-08-12,6,0,2,44976,1,0,1,2,50,1632,39
168952,2014-08-01 11:55:12,23,1,1,368,43767,4235.7297,991472,0,0,5,2014-11-20,2014-11-30,2,0,1,7635,3,0,1,2,50,675,98
194632,2013-08-19 13:53:28,2,3,39,0,55763,,1054337,0,1,1,2013-08-30,2013-09-01,2,0,1,8267,1,0,1,2,50,675,55
488543,2014-08-12 13:39:08,37,1,69,844,22970,,711956,0,1,9,2014-12-24,2014-12-26,2,0,1,8242,1,0,1,3,171,61,29
600568,2014-08-06 20:23:19,15,1,55,23,43889,,1039673,0,0,5,2014-09-21,2014-09-23,2,0,1,19934,6,1,1,6,105,1871,82
374067,2014-08-13 00:01:38,24,2,3,64,12576,,380746,0,0,0,2014-08-26,2014-08-27,1,0,1,1536,1,1,1,6,64,1414,81
286575,2014-08-26 10:01:36,24,2,3,84,31771,,125485,0,0,0,2014-09-26,2014-09-28,1,0,1,6581,6,0,1,3,171,61,21
188382,2013-08-31 12:05:59,28,1,68,480,24714,,1038144,0,1,9,2013-09-09,2013-09-12,2,0,1,46698,8,0,1,6,22,301,64
409566,2014-08-01 12:07:00,8,4,77,977,17702,,480495,0,0,5,2014-08-07,2014-08-13,1,0,1,12269,6,0,1,2,50,1230,56
109219,2014-08-13 03:17:13,34,3,69,645,52512,,815223,1,0,9,2014-08-13,2014-08-17,2,0,1,8745,1,0,1,6,204,27,35
460400,2014-08-04 15:28:10,2,3,69,761,41949,,641496,0,0,9,2014-09-20,2014-09-22,2,0,1,21828,6,0,1,6,46,799,53
255071,2014-08-12 17:26:25,2,3,66,442,28620,935.7984,24559,0,1,3,2014-09-06,2014-09-10,2,0,1,8791,1,0,5,4,8,110,65
577235,2013-08-04 21:38:22,23,1,1,318,3115,5390.015,981514,0,0,9,2013-08-05,2013-08-07,1,0,1,12823,5,1,1,2,50,663,47
174205,2014-08-26 12:49:32,2,3,66,333,3067,204.2005,1003015,0,0,9,2014-09-20,2014-09-21,2,0,1,27791,6,0,2,2,50,1298,48
257049,2014-08-30 07:33:05,2,3,66,174,44465,2087.5991,28917,0,1,3,2014-09-16,2014-09-22,2,0,1,8791,1,0,1,4,8,110,66
627952,2014-08-03 22:19:54,2,3,23,48,4924,,1119882,0,1,9,2014-08-05,2014-08-06,2,0,1,8747,1,0,2,3,106,107,2
574408,2013-08-10 14:51:53,24,2,3,50,5703,,977169,1,0,9,2013-10-12,2013-10-19,2,0,1,8856,1,0,2,2,50,636,0
11443,2014-08-24 23:20:37,2,3,66,174,6844,836.0065,524980,1,0,1,2014-09-10,2014-09-12,2,1,1,42601,6,0,2,2,50,1553,4
526241,2014-08-15 16:07:25,37,1,69,916,25365,,833271,0,1,4,2014-12-12,2014-12-15,4,0,2,47843,1,0,1,6,135,277,58
87131,2013-08-03 18:47:08,14,1,66,348,38945,212.2131,750202,1,0,9,2013-08-05,2013-08-06,4,3,2,14875,1,0,1,2,198,750,19
281264,2013-08-08 12:47:59,2,3,66,346,31371,111.8929,107036,0,0,9,2013-09-01,2013-09-02,2,0,1,1493,1,0,2,2,50,587,76
195043,2013-08-15 15:35:14,8,4,77,401,2876,2343.841,1055408,0,0,5,2013-08-18,2013-08-25,3,0,2,11815,1,0,1,3,5,1701,81
511429,2014-08-11 11:50:18,2,3,66,467,29968,733.2854,791217,0,0,9,2014-08-23,2014-08-25,2,0,1,8267,1,0,1,2,50,675,98
